         46737219 function calls (46211385 primitive calls) in 631.357 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     4445    0.078    0.000    1.225    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
      462    0.004    0.000    0.123    0.000 <frozen importlib._bootstrap_external>:1281(_fill_cache)
      462    0.003    0.000    0.024    0.000 <frozen importlib._bootstrap_external>:1322(path_hook_for_FileFinder)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1359(_get_supported_file_loaders)
     5093    0.039    0.000    0.101    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
     2724    0.011    0.000    0.074    0.000 <frozen importlib._bootstrap_external>:361(_get_cached)
     2546    0.007    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:393(_check_name_wrapper)
     4445    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:41(_relax_case)
      118    0.000    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:413(_find_module_shim)
     2546    0.052    0.000    0.066    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
     2546    0.014    0.000    0.592    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
     5092    0.007    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:52(_r_long)
     2727    0.017    0.000    0.025    0.000 <frozen importlib._bootstrap_external>:524(spec_from_file_location)
    25288    0.051    0.000    0.124    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
    25288    0.037    0.000    0.058    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
     5094    0.011    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
     2547    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:669(create_module)
  2546/13    0.014    0.000    9.964    0.766 <frozen importlib._bootstrap_external>:672(exec_module)
     2546    0.038    0.000    2.165    0.001 <frozen importlib._bootstrap_external>:743(get_code)
    12579    0.013    0.000    0.918    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
     2549    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:800(__init__)
     2546    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:825(get_filename)
     2546    1.314    0.001    1.368    0.001 <frozen importlib._bootstrap_external>:830(get_data)
     2546    0.006    0.000    0.048    0.000 <frozen importlib._bootstrap_external>:840(path_stats)
     5588    0.012    0.000    0.816    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
      179    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:908(__init__)
  179/160    0.001    0.000    0.478    0.003 <frozen importlib._bootstrap_external>:919(create_module)
  178/155    0.001    0.000    0.145    0.001 <frozen importlib._bootstrap_external>:927(exec_module)
     5019    0.006    0.000    0.813    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:966(_find_parent_path_names)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:976(_get_parent_path)
        2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:980(_recalculate)
      569    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:99(_path_isdir)
        2    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:993(__iter__)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:105(_InitOpDefLibrary)
        1    0.000    0.000    0.000    0.000 <string>:112(_InitOpDefLibrary)
       15    0.000    0.000    0.000    0.000 <string>:12(__new__)
        1    0.000    0.000    0.000    0.000 <string>:134(_InitOpDefLibrary)
        1    0.000    0.000    0.000    0.000 <string>:158(_InitOpDefLibrary)
        1    0.000    0.000    0.000    0.000 <string>:16(_make)
        1    0.000    0.000    0.000    0.000 <string>:194(_InitOpDefLibrary)
        1    0.000    0.000    0.000    0.000 <string>:2(<module>)
        1    0.000    0.000    0.000    0.000 <string>:2(AsyncContextManager)
